BRAND,VERTICAL,WEBSITE,AD_LIBRARY_URL,ACTIVE_ADS_COUNT,AD_SCALE_EVIDENCE,LANDING_PAGE_TYPE,PRODUCTS_OFFERED,HERO_FORMULATION,GENERIC_OR_COMPOUNDED,PRICING_AS_LISTED,EFFECTIVE_PRICE_PER_MONTH,INTRO_OR_TRIAL_OFFER,DISCOUNTS_AND_BUMPS,GUARANTEE,CONSULT_FEE,PRIMARY_ANGLE,CTA_WORDING,CRO_ELEMENTS,FUNNEL_MODEL,SUBSCRIPTION_STRUCTURE,COMPANY_SCALE,VERDICT_NOTES,SOURCE_AND_DATE
Curology,Acne (model-repeats proof),curology.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=Curology&search_type=keyword_unordered,~63 (measured 2026-08-14),"~63 active US results on 2026-08-14; page 'Curology' 22 visible cards, plus creator collabs (Alexa Field Social with Curology, Sydney Johnson with Curology) and retail/marketplace pages (Amazon Beauty, Amazon.com, SalonCentric). | agent-reported: ~63 | verified via https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=Curology&search_type=keyword_unordered&media_type=all",Quiz-first telehealth funnel,Custom compounded acne formula plus adjacent skincare,,Compounded (personalised formula),,,,,,,Personalised prescription formula built by your provider,,,Quiz -> Rx -> subscription ship,,,"The original proof of this business model and now visibly PAST its aggressive-acquisition phase - only ~63 active ads for a category-defining brand, and it has moved into retail distribution. Acne is the most mature and most contested of these verticals; it is where this model goes to get commoditised. Pricing UNVERIFIED in this pass.",Meta Ad Library 2026-08-14
Apostrophe,Acne / derm telehealth,apostrophe.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=Apostrophe%20skincare&search_type=keyword_unordered,0 on this keyword,"The keyword 'Apostrophe skincare' returned 'No ads match your search criteria' on 2026-08-14. Apostrophe also did not appear among visible advertisers on the 'rosacea treatment', 'rosacea', 'melasma' or 'dark spots cream' sweeps. Note the bare word 'apostrophe' was not tested separately, so a zero on this specific keyword is not proof of zero total spend.",Quiz-first telehealth funnel,"Prescription acne, anti-aging and rosacea topicals",,Mix of generic and compounded,,,,,,,Dermatologist-designed personalised prescription skincare,,,Quiz -> Rx -> subscription ship,,,"A funded, well-known derm telehealth brand showing no measurable paid-social presence on any condition keyword we swept. Combined with Curology's ~63 ads, this says the incumbent derm telehealth cohort has largely stopped buying attention - which is precisely the vacuum a new brand with fresh creative can walk into. Pricing UNVERIFIED in this pass.",Meta Ad Library 2026-08-14
Calvris / TryCalvris,Adjacent (surfaced in toe fungus ad cluster),calvris.com (trycalvris.com 301-redirects here),https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=Calvris&search_type=keyword_unordered,~150,~150 active US results on 2026-08-14: page 'TryCalvris' 18 visible cards plus doctor-persona page 'Dr. Steven Walter' 3. Calvris also appeared inside the 'Fungus Free Reset' advertiser cluster.,Product page with long-form marketing sections,Beard Recovery Cream,Proprietary 'Dry-Safe Complex' described only as 'antifungal agents and skin-calming ingredients'; no actives named,"OTC cosmetic (carries the standard 'not intended to diagnose, treat, cure, or prevent any disease' disclaimer)","UNVERIFIED - the page returned an internally inconsistent pair ($44.99 regular against a $65.95 sale price, claims:31% savings), which cannot both be true. Needs a manual re-read before anyone quotes it.",,,,claims:'Results in 1 Week or Money Back!' and '120-day Money-Back Guarantee. If you dont see results simply reach out to our team for a refund.',,Antifungal positioning applied to beard/skin rather than nails,'Try Calvris Today'; 'Shop Now'; 'Try Risk Free',,Advertorial/product page -> cart,,,"Included because it advertises inside the same cluster as the toe fungus supplement operators, but the product is a BEARD cream, not a nail treatment - so it is not a direct competitor. Its 120-day guarantee is the longest in this dataset and is worth noting as a guarantee-length benchmark. Pricing deliberately left UNVERIFIED rather than reported from a self-contradictory page.",https://calvris.com + Meta Ad Library 2026-08-14
Braun Silk-expert Pro 5,At-home IPL device,us.braun.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=unwanted%20facial%20hair&search_type=keyword_unordered,UNVERIFIED at keyword level,Not isolated in rendered subsets. Retail/marketplace distribution rather than niche keyword buying.,Retail/marketplace listing,Silk-expert Pro 5 IPL (IPL5137 / PL5157 / Glow Edition),IPL device,n/a - device,$280 on Amazon; $239.99-$299.99 Costco Glow Edition; ~$419 stated retail,$23.33/mo at $280 annualized over 12 mo (up to $34.92/mo at $419),Retailer discounting is the offer,"Bundle editions include extra heads, razor, vanity case",Retailer-dependent (no brand-level guarantee published on product pages),n/a,Permanent laser-grade hair reduction at home from a trusted legacy brand,"Retailer ""Add to cart""",Retail trust; bundle editions; price-tracked discounting,Retail purchase,None (one-time device),Global appliance brand (Procter & Gamble lineage),"THE TRUST INCUMBENT. She already believes Braun. Prices are retailer-set and third-party sourced here - official Braun US pages do not display price, so treat the $280/$419 spread as retail-observed, not brand-published.",https://us.braun.com/en-us/female-hair-removal/ipls/silk-expert-pro-5-pl5157 + dealnews/Costco listings 2026-08-14
Kenzzi,At-home IPL device,kenzzi.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=unwanted%20facial%20hair&search_type=keyword_unordered,UNVERIFIED at keyword level,Not isolated in rendered subsets.,DTC site routing to retail,ICE Cooling IPL Handset,IPL device,n/a - device,$699.99,$58.33/mo (annualized over 12 months),None published,None published,"90 Day Money Back Guarantee (stated as ""IPL ICE USA 90 Day Money Back Gaurantee"" - typo is theirs)",n/a,Cooling-enhanced IPL comfort,"""shop now at walmart"" / ""learn more""",Retail-channel handoff; no review count or rating displayed on site,DTC site -> Walmart retail,None (one-time device),Small DTC device brand,"MOST EXPENSIVE DEVICE FOUND AND THE WEAKEST MERCHANDISING - no reviews shown, a typo in the guarantee, and it pushes its own traffic to Walmart. At $58/mo annualized it makes a monthly Rx look cheap.",https://www.kenzzi.com/ 2026-08-14
Nood,At-home IPL device,trynood.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=peach%20fuzz&search_type=keyword_unordered,~440 (measured 2026-08-14),Not isolated in the rendered subsets of these sweeps; sustained national DTC advertiser by reputation. Ad count UNVERIFIED. | verified via https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=Nood&search_type=keyword_unordered&media_type=all,DTC product page,The Flasher 2.0; The Flasher Pro; Noodist Pro Kit,IPL device,n/a - device,"Flasher 2.0 $179 (reg $199, 10% off); Flasher Pro $379; Noodist Pro Kit $399 (reg $507, 21% off)",$14.92/mo (Flasher 2.0 $179 annualized over 12 mo); $31.58/mo for the Pro,$98 OFF Flash Pro Kit,Kit bundling saves 21%,"""Try The Flasher for 90 days. If you've still got hair to spare, we'll hook you up with a refund.""",n/a,Long-lasting hair removal plus visibly younger skin; clinical-grade power at home,"""Shop Now""",4.6/5 from 380 reviews; bundle ladder; plain-English 90-day guarantee copy,DTC ecommerce,None (one-time device),Well-funded DTC device brand,"CHEAPEST CREDIBLE DEVICE AT ~$15/MO ANNUALIZED - the hardest price anchor in the device category. Note the guarantee is written in casual human voice, not legalese; that copy converts and is worth stealing tonally.",https://trynood.com/ 2026-08-14
Philips Lumea 9900 Series,At-home IPL device,philips.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=unwanted%20facial%20hair&search_type=keyword_unordered,UNVERIFIED at keyword level,Not isolated in rendered subsets. Retail-led distribution.,Retail/marketplace listing,Lumea IPL 9900 Series BRI973 / BRI977 / BRP958,IPL device with SenseIQ,n/a - device,BRI973 $539 (reg $679); BRI977 $599 (reg $699); $410.99 at some importers,$44.92-$49.92/mo (device annualized over 12 months),Reseller sale pricing,Attachment bundles (3 vs 4 heads incl. dedicated facial attachment),Retailer-dependent,n/a,Premium at-home IPL with skin-sensing tech and a dedicated facial attachment,"Retailer ""Add to cart""",Premium positioning; attachment tiering,Retail purchase,None (one-time device),Global appliance brand,THE PRICE CEILING FOR DEVICES AT ~$45-50/MO ANNUALIZED - it lands inside our $40-70 thesis band. Prices here are reseller-observed; Philips US does not publish price directly. Flag before quoting to a partner.,https://us.beautysook.com/products/philips-lumea-bri977-9900-series-ipl-hair-removal-tool-with-4-attachments-for-body-face-bikini-and-armpits + https://www.tradeinn.com/techinn/en/philips-lumea-ipl-9900-series-bri977-00-epilator/141721597/p (philips.com US does not publish price) 2026-08-14
Ulike,At-home IPL device,ulike.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=vello%20en%20la%20cara&search_type=keyword_unordered,~360 (measured 2026-08-14),"Appears as ""Ulike Global"" on the Spanish keyword ""vello en la cara"" (~100 total active US). Major brand-level spender outside these niche keywords. | agent-reported: 2 (rendered subset, ""Ulike Global"") | verified via https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=Ulike&search_type=keyword_unordered&media_type=all",DTC product page,"Air 10, Air 3, Air+ IPL handsets",Intense Pulsed Light (IPL) device,n/a - device,"Air 10 $259.00 (25% off; additional $90-off coupon advertised); ""Glow Fest: Up to 40% Off"" sitewide",$21.58/mo (device $259 annualized over 12 months); $7.19/mo over a 3-year life,Up to 40% off seasonal sale; $90 coupon,Free US shipping; seasonal stacking coupons,90-Day Money Back Guarantee (100-day trial also advertised in places),n/a,Painless at-home permanent hair reduction; speed and safety,"""Shop Now""",Sitewide sale banner; coupon codes; 90-day guarantee; heavy review volume,DTC ecommerce,None (one-time device),Global category leader in at-home IPL,"PRICE-ANCHOR RIVAL AND THE ONLY DEVICE BRAND FOUND RUNNING SPANISH CREATIVE. At $21.58/mo annualized it sits right in our target price band. Its weakness on facial hair is real: IPL works poorly on the fine, light, hormone-driven hair our buyer actually has.",https://www.ulike.com/products/sapphire-air-10-ipl-hair-removal + Meta Ad Library 2026-08-14
Skin Medicinals,B2B2C compounded dermatology prescribing platform,skinmedicinals.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=Skin%20Medicinals&search_type=keyword_exact_phrase,~29,"Meta Ad Library exact-phrase query returned ~29 active US ads on 2026-08-14 with the Skin Medicinals page as top advertiser. Critically the ad copy targets prescribers, not patients: a sample creative opens 'Hair loss patients often cycle through treatments without seeing consistent results... With HairStim, you can prescribe a single cu...', confirming a B2B media strategy",B2B prescriber signup plus a patient login,"Oral and topical medications and customized acne and anti-aging compounds across seven conditions: acne, rosacea, anti-aging, warts, hyperpigmentation, inflammatory conditions and hair loss",Physician-selected compounded formulations rather than a single branded hero SKU,Compounded,"No consumer subscription price. An illustrative cost comparison is shown: generic clobetasol at $382 to $1,528 versus their version at $38 to $68 for equivalent volumes",Not applicable; this is not a DTC subscription,None,None,None stated,Not applicable; the prescribing physician is the gatekeeper,Removing prior authorizations and cutting patient medication cost for dermatology practices,Physician Sign Up / Physician Search / Patient Login,'No more prior authorizations' and 'Transparent Affordable Pricing' as the core promises; a side-by-side cost comparison against retail pharmacy pricing,"Physician prescribes, compounding pharmacy fills, patient receives",No consumer subscription,UNVERIFIED,"NOT A DTC COMPETITOR, BUT A USEFUL PRICE-TRANSPARENCY WEAPON. Their published retail-versus-compounded comparison, a spread of up to roughly 22x, is exactly the framing that justifies a compounded product's price to a skeptical buyer. Also a live reminder that dermatologists can already prescribe compounded eflornithine directly, a quiet substitute for our offer.","https://www.skinmedicinals.com/ + Meta Ad Library, verified 2026-08-14"
Pandia Health,Birth control and menopause telehealth,pandiahealth.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=Pandia%20Health&search_type=keyword_unordered,0,"Meta Ad Library returned 'No ads match your search criteria' for this brand on 2026-08-14 using the broader keyword_unordered query, so the zero is conservative. No active US ads. This brand is not buying Meta traffic at all",Informational site with an external app signup,"Birth control pills, patches and rings; emergency contraception; menopause and perimenopause hormone therapy in pill, patch and vaginal forms; online doctor consultations and prescription delivery",No hirsutism or facial hair product,Generic,Not published. Medications 'covered by most insurance'; telehealth consultation fees described only as 'low' and 'cash/credit only'; free USPS delivery in 3-5 business days,UNVERIFIED,None,None observed,"None stated. The site substitutes a retention statistic, claims: '94% of patients stick with their first treatment plan at 10 weeks'",Not disclosed; described only as affordable,Doctor-founded birth control delivery with refill reminders,Get Started,"4.9 stars across 1,931 Google reviews, the strongest verified third-party review corpus found in this segment; claims: 'Seal of approval from 40,000+ patients'; refill reminders sent 7-10 days before medication runs out",Site to app signup to Rx delivery,Refill-based rather than a formal subscription tier,"claims: 40,000+ patients. Funding UNVERIFIED","ZERO PAID SPEND WITH THE BEST REVIEW ASSET. 4.9 from 1,931 Google reviews is stronger third-party proof than anything Musely or Oana display, and yet they buy no ads. The lesson for us is that Google review volume is a durable, transferable trust asset worth building deliberately from the first cohort of customers.","https://www.pandiahealth.com/ + Meta Ad Library, verified 2026-08-14"
