BRAND,VERTICAL,WEBSITE,AD_LIBRARY_URL,ACTIVE_ADS_COUNT,AD_SCALE_EVIDENCE,LANDING_PAGE_TYPE,PRODUCTS_OFFERED,HERO_FORMULATION,GENERIC_OR_COMPOUNDED,PRICING_AS_LISTED,EFFECTIVE_PRICE_PER_MONTH,INTRO_OR_TRIAL_OFFER,DISCOUNTS_AND_BUMPS,GUARANTEE,CONSULT_FEE,PRIMARY_ANGLE,CTA_WORDING,CRO_ELEMENTS,FUNNEL_MODEL,SUBSCRIPTION_STRUCTURE,COMPANY_SCALE,VERDICT_NOTES,SOURCE_AND_DATE
Curology,Acne (model-repeats proof),curology.com,AdLib q=Curology,~63 (measured 2026-08-14),~63 active US results on 2026-08-14; page 'Curology' 22 visible cards…,Quiz-first telehealth funnel,Custom compounded acne formula plus adjacent skincare,,Compounded (personalised…,,,,,,,Personalised prescription formula built by your provider,,,Quiz -> Rx -> subscription ship,,,The original proof of this business model and now visibly PAST its aggressive-acquisition phase - only ~63 active ads f…,Meta Ad Library 2026-08-14
Apostrophe,Acne / derm telehealth,apostrophe.com,AdLib q=Apostrophe%20skincare,0 on this keyword,The keyword 'Apostrophe skincare' returned 'No ads match your search…,Quiz-first telehealth funnel,"Prescription acne, anti-aging and rosacea topicals",,Mix of generic and compou…,,,,,,,Dermatologist-designed personalised prescription skincare,,,Quiz -> Rx -> subscription ship,,,"A funded, well-known derm telehealth brand showing no measurable paid-social presence on any condition keyword we swept…",Meta Ad Library 2026-08-14
Calvris / TryCalvris,Adjacent (surfaced in toe fungus…,calvris.com (trycalvris.com 301-r…,AdLib q=Calvris,~150,~150 active US results on 2026-08-14: page 'TryCalvris' 18 visible ca…,Product page with long-form marketing secti…,Beard Recovery Cream,Proprietary 'Dry-Safe Complex' described only as 'antifungal agents a…,OTC cosmetic (carries the…,UNVERIFIED - the page returned an internally inconsistent pair ($44.99 regular against a $65.95…,,,,'Results in 1 Week or Money Back!' and '120-day Money-Back Guarantee. If…,,Antifungal positioning applied to beard/skin rather than nails,'Try Calvris Today'; 'Shop Now'; 'Try Risk…,,Advertorial/product page -> cart,,,"Included because it advertises inside the same cluster as the toe fungus supplement operators, but the product is a BEA…",https://calvris.com + Meta Ad Library 2026-08-14
Braun Silk-expert Pro 5,At-home IPL device,us.braun.com,AdLib q=unwanted%20facial%20hair,UNVERIFIED at keyword level,Not isolated in rendered subsets. Retail/marketplace distribution rat…,Retail/marketplace listing,Silk-expert Pro 5 IPL (IPL5137 / PL5157 / Glow Edition),IPL device,n/a - device,$280 on Amazon; $239.99-$299.99 Costco Glow Edition; ~$419 stated retail,$23.33/mo at $280 annualized over 12 mo (up to $34…,Retailer discounting is the offer,"Bundle editions include extra heads, razor, vanity case",Retailer-dependent (no brand-level guarantee published on product pages),n/a,Permanent laser-grade hair reduction at home from a trusted legacy br…,"Retailer ""Add to cart""",Retail trust; bundle editions; price-tracked discounting,Retail purchase,None (one-time device),Global appliance brand (Procter & Gamble lineage),THE TRUST INCUMBENT. She already believes Braun. Prices are retailer-set and third-party sourced here - official Braun…,https://us.braun.com/en-us/female-hair-removal/ipls/silk-expert-pro-5-pl5…
Kenzzi,At-home IPL device,kenzzi.com,AdLib q=unwanted%20facial%20hair,UNVERIFIED at keyword level,Not isolated in rendered subsets.,DTC site routing to retail,ICE Cooling IPL Handset,IPL device,n/a - device,$699.99,$58.33/mo (annualized over 12 months),None published,None published,"90 Day Money Back Guarantee (stated as ""IPL ICE USA 90 Day Money Back Gau…",n/a,Cooling-enhanced IPL comfort,"""shop now at walmart"" / ""learn more""",Retail-channel handoff; no review count or rating displayed on site,DTC site -> Walmart retail,None (one-time device),Small DTC device brand,"MOST EXPENSIVE DEVICE FOUND AND THE WEAKEST MERCHANDISING - no reviews shown, a typo in the guarantee, and it pushes it…",https://www.kenzzi.com/ 2026-08-14
Nood,At-home IPL device,trynood.com,AdLib q=peach%20fuzz,~440 (measured 2026-08-14),Not isolated in the rendered subsets of these sweeps; sustained natio…,DTC product page,The Flasher 2.0; The Flasher Pro; Noodist Pro Kit,IPL device,n/a - device,"Flasher 2.0 $179 (reg $199, 10% off); Flasher Pro $379; Noodist Pro Kit $399 (reg $507, 21% off)",$14.92/mo (Flasher 2.0 $179 annualized over 12 mo)…,$98 OFF Flash Pro Kit,Kit bundling saves 21%,"""Try The Flasher for 90 days. If you've still got hair to spare, we'll ho…",n/a,Long-lasting hair removal plus visibly younger skin; clinical-grade p…,"""Shop Now""",4.6/5 from 380 reviews; bundle ladder; plain-English 90-day guarantee copy,DTC ecommerce,None (one-time device),Well-funded DTC device brand,CHEAPEST CREDIBLE DEVICE AT ~$15/MO ANNUALIZED - the hardest price anchor in the device category. Note the guarantee is…,https://trynood.com/ 2026-08-14
Philips Lumea 9900 Series,At-home IPL device,philips.com,AdLib q=unwanted%20facial%20hair,UNVERIFIED at keyword level,Not isolated in rendered subsets. Retail-led distribution.,Retail/marketplace listing,Lumea IPL 9900 Series BRI973 / BRI977 / BRP958,IPL device with SenseIQ,n/a - device,BRI973 $539 (reg $679); BRI977 $599 (reg $699); $410.99 at some importers,$44.92-$49.92/mo (device annualized over 12 months),Reseller sale pricing,Attachment bundles (3 vs 4 heads incl. dedicated facial attachment),Retailer-dependent,n/a,Premium at-home IPL with skin-sensing tech and a dedicated facial att…,"Retailer ""Add to cart""",Premium positioning; attachment tiering,Retail purchase,None (one-time device),Global appliance brand,THE PRICE CEILING FOR DEVICES AT ~$45-50/MO ANNUALIZED - it lands inside our $40-70 thesis band. Prices here are resell…,https://us.beautysook.com/products/philips-lumea-bri977-9900-series-ipl-h…
Ulike,At-home IPL device,ulike.com,AdLib q=vello%20en%20la%20cara,~360 (measured 2026-08-14),"Appears as ""Ulike Global"" on the Spanish keyword ""vello en la cara"" (…",DTC product page,"Air 10, Air 3, Air+ IPL handsets",Intense Pulsed Light (IPL) device,n/a - device,"Air 10 $259.00 (25% off; additional $90-off coupon advertised); ""Glow Fest: Up to 40% Off"" site…",$21.58/mo (device $259 annualized over 12 months)…,Up to 40% off seasonal sale; $90 coupon,Free US shipping; seasonal stacking coupons,90-Day Money Back Guarantee (100-day trial also advertised in places),n/a,Painless at-home permanent hair reduction; speed and safety,"""Shop Now""",Sitewide sale banner; coupon codes; 90-day guarantee; heavy review volume,DTC ecommerce,None (one-time device),Global category leader in at-home IPL,PRICE-ANCHOR RIVAL AND THE ONLY DEVICE BRAND FOUND RUNNING SPANISH CREATIVE. At $21.58/mo annualized it sits right in o…,https://www.ulike.com/products/sapphire-air-10-ipl-hair-removal + Meta Ad…
Skin Medicinals,B2B2C compounded dermatology pres…,skinmedicinals.com,AdLib q=Skin%20Medicinals,~29,Meta Ad Library exact-phrase query returned ~29 active US ads on 2026…,B2B prescriber signup plus a patient login,Oral and topical medications and customized acne and anti-aging compounds acr…,Physician-selected compounded formulations rather than a single brand…,Compounded,No consumer subscription price. An illustrative cost comparison is shown: generic clobetasol at…,Not applicable; this is not a DTC subscription,None,None,None stated,Not applicable; the prescribing p…,Removing prior authorizations and cutting patient medication cost for…,Physician Sign Up / Physician Search / Pati…,'No more prior authorizations' and 'Transparent Affordable Pricing' as the co…,"Physician prescribes, compounding pharmacy fills, p…",No consumer subscription,UNVERIFIED,"NOT A DTC COMPETITOR, BUT A USEFUL PRICE-TRANSPARENCY WEAPON. Their published retail-versus-compounded comparison, a sp…","https://www.skinmedicinals.com/ + Meta Ad Library, verified 2026-08-14"
Pandia Health,Birth control and menopause teleh…,pandiahealth.com,AdLib q=Pandia%20Health,0,Meta Ad Library returned 'No ads match your search criteria' for this…,Informational site with an external app sig…,"Birth control pills, patches and rings; emergency contraception; menopause an…",No hirsutism or facial hair product,Generic,Not published. Medications 'covered by most insurance'; telehealth consultation fees described…,UNVERIFIED,None,None observed,"None stated. The site substitutes a retention statistic,  '94% of patient…",Not disclosed; described only as…,Doctor-founded birth control delivery with refill reminders,Get Started,"4.9 stars across 1,931 Google reviews, the strongest verified third-party rev…",Site to app signup to Rx delivery,Refill-based rather than a formal subscription tier," 40,000+ patients. Funding UNVERIFIED","ZERO PAID SPEND WITH THE BEST REVIEW ASSET. 4.9 from 1,931 Google reviews is stronger third-party proof than anything M…","https://www.pandiahealth.com/ + Meta Ad Library, verified 2026-08-14"
Sesame Care,"Broad marketplace: urgent care, R…",https://sesamecare.com,AdLib q=sesame%20care,251,Retrieved via Apify actor apify/facebook-ads-scraper (onlyTotal mode)…,Service-tile marketplace grid rather than a…,"Doctor visits sold as the product. For ED: generic sildenafil, tadalafil, ava…","No proprietary formulation - Sesame is a visit marketplace, not a pro…","Generic, dispensed throug…","Visits from $34; urgent care, Rx refill and ED visits 'From $38/visit'; pediatric 'From $50/vis…","$34-$38 per one-off visit with no subscription, or…",GLP-1 promo: '$199 per month for the first two consecutive…,No order bumps - the model is a la carte. A pharmacy savings card ('up to 80%')…,No satisfaction guarantee. Conditional refund only: 'If you cancel before…,THE CONSULT IS THE PRODUCT - $34-…,"Price transparency and cash-pay affordability: book upfront, see the…","'Get started', 'Learn more', 'Start', 'Visi…"," '1M+ patients agree', '10K+ board-certified providers', '$50M+ saved by pati…",Consult (per-visit fee) or subscription -> e-prescr…,Pay-per-visit for acute needs; 'Success by Sesame' subscrip…,Private. Total funding ~$84.8M across 4 rounds per Tracxn; Seri…,"A different business model, not a direct competitor, but it sets the price ceiling a compounded brand has to argue agai…",https://sesamecare.com/ ; https://sesamecare.com/service/online-ed-consul…
PlushCare,"Broad primary/urgent care, mental…",https://plushcare.com,AdLib q=plushcare,18,Retrieved via Apify actor apify/facebook-ads-scraper (onlyTotal mode)…,Marketing/marketplace homepage with mega-na…,Doctor visits across many conditions. Weight loss is the most merchandised ca…,No proprietary formulation - a physician-visit marketplace.,Generic and brand-name vi…,Membership $19.99/month ('Less than $1 a day'). Visit cost: insurance copay for insured patient…,$19.99/mo membership plus per-visit cost. Effective…,No time-limited intro promo found. The $19.99/mo membership…,No order bumps - membership is the upsell.,"Explicit and unusually clear: 'If we're unable to treat you, we'll provid…",Membership $19.99/mo plus a separ…,"Legitimacy and insurance acceptance - real doctors, real insurance, l…","'Book appointment' (nav), 'Book an appointm…",'4.9 star rating (130k+) from the App Store'; '1M+ Members treated'; 'Insuran…,Membership + per-visit consult -> e-prescription ->…,Single membership tier at $19.99/month; no annual option fo…,"Funding reported at ~$31-33.6M across 3 rounds, latest $23M in…","Not a competitor for a compounded-Rx launch, but it owns the one asset none of the DR brands have: a guarantee placed d…",https://plushcare.com/ ; https://plushcare.com/sexual-health ; https://pl…
